ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
WP5090	Complement system in neuronal development and plasticity	6/49	107/8836	0.0560747663551402	10.1117680717147	7.08097893857819	2.5097265110234e-05	0.00276069916212574	0.00237763564202217	722/714/710/713/712/64478	6
WP3937	Microglia pathogen phagocytosis pathway	4/49	40/8836	0.1	18.0326530612245	8.06214657055447	6.58709171241022e-05	0.00362290044182562	0.00312020133745747	714/2209/713/712	4
WP4258	lncRNA in canonical Wnt signaling and colorectal cancer	5/49	98/8836	0.0510204081632653	9.20033319450229	6.09564294823046	0.000196252816549176	0.00556657983987859	0.00479418359415381	83999/467/106614088/51384/4919	5
WP545	Complement activation	3/49	23/8836	0.130434782608696	23.5208518189885	8.0754707744811	0.000262541637731192	0.00556657983987859	0.00479418359415381	714/713/712	3
WP558	Complement and coagulation cascades	4/49	58/8836	0.0689655172413793	12.4363124560169	6.52504069559639	0.000284199723051163	0.00556657983987859	0.00479418359415381	714/710/713/712	4
WP3896	Dengue 2 interactions with complement and coagulation cascades	4/49	59/8836	0.0677966101694915	12.2255274991352	6.46012198088844	0.000303631627629741	0.00556657983987859	0.00479418359415381	714/710/713/712	4
WP5087	Pleural mesothelioma	9/49	439/8836	0.020501138952164	3.69689926084329	4.32828561736637	0.000591549417753413	0.00929577656469649	0.00800593196959506	2335/29126/83999/467/2258/1285/51384/4919/1286	9
WP3941	Oxidative damage response	3/49	40/8836	0.075	13.5244897959184	5.92827624053352	0.00137083697944751	0.0188490084674032	0.0162335958092468	714/713/712	3
WP4585	Cancer immunotherapy by PD 1 blockade	2/49	23/8836	0.0869565217391304	15.6805678793256	5.26412134918994	0.00707632202559086	0.0804056537400055	0.0692488883885215	80380/29126	2
WP2572	Primary focal segmental glomerulosclerosis FSGS 	3/49	72/8836	0.0416666666666667	7.51360544217687	4.14397870881889	0.00730960488545505	0.0804056537400055	0.0692488883885215	1285/1286/55742	3
WP4239	Epithelial to mesenchymal transition in colorectal cancer	4/49	162/8836	0.0246913580246914	4.4525069286974	3.31179435020555	0.0121585650169095	0.113661528379598	0.0978903115230987	2335/1285/51384/1286	4
WP4336	ncRNAs in Wnt signaling in hepatocellular carcinoma	3/49	89/8836	0.0337078651685393	6.07842238018803	3.5956322145644	0.0130350702070271	0.113661528379598	0.0978903115230987	83999/51384/4919	3
WP2328	Allograft rejection	3/49	90/8836	0.0333333333333333	6.0108843537415	3.5678936586915	0.0134327260812252	0.113661528379598	0.0978903115230987	714/713/712	3
WP4658	Small cell lung cancer	3/49	96/8836	0.03125	5.63520408163265	3.40980673487357	0.0159640838022859	0.125432087017961	0.108027634752311	2335/1285/1286	3
WP1433	Nucleotide binding oligomerization domain NOD pathway	2/49	41/8836	0.048780487804878	8.79641612742658	3.73637124738344	0.0215290999458152	0.157880066269312	0.135973262815675	838/4671	2
