node	degree	betweenness	closeness	eigenvector_centrality	degree_scaled	betweenness_scaled	closeness_scaled	eigenvector_scaled	combined_score_prop
FN1	33	511.956998637994	0.00581395348837209	0.674799278898509	2.88920678598713	4.44011206569296	2.14592743516514	0.674799278898509	2.53751139143593
ANKRD22	28	435.811107727707	0.00558659217877095	0.816863551094772	2.25237466378579	3.67640537079467	1.79946214463853	0.816863551094772	2.13627643257844
UTY	19	541.338271736812	0.00531914893617021	0.148218621409591	1.10607684382338	4.7347921160799	1.39191786672426	0.148218621409591	1.84525136200928
CD274	32	225.332469239262	0.00574712643678161	1	2.76184036154686	1.5654057695675	2.04409280954237	1	1.84283473516418
ANK2	21	359.652124747922	0.00558659217877095	0.29640348853074	1.36080969270391	2.91256736873053	1.79946214463853	0.29640348853074	1.59231067365093
FCGR1A	28	159.157338452805	0.0054945054945055	0.929595772601409	2.25237466378579	0.901701007390251	1.65913554345193	0.929595772601409	1.43570174680735
C1QC	27	181.912361679513	0.00537634408602151	0.858821591082314	2.12500823934552	1.12992295571937	1.47907488673221	0.858821591082314	1.39820691821985
C1QA	29	111.275430978005	0.00543478260869565	0.941485532852159	2.37974108822606	0.421468484454919	1.56812662456642	0.941485532852159	1.32770543252489
C1QB	28	118.63110207438	0.0053475935828877	0.905316686478423	2.25237466378579	0.495242330878092	1.43526333656779	0.905316686478423	1.27204925442752
SERPING1	27	103.906068614146	0.00531914893617021	0.909314224832995	2.12500823934552	0.34755732119804	1.39191786672426	0.909314224832995	1.1934494130252
FGF13	19	234.438406633719	0.00520833333333333	0.296847234242095	1.10607684382338	1.6567339458924	1.22305114045885	0.296847234242095	1.07067729110418
PDCD1LG2	17	132.142145237935	0.00497512437810945	0.496550015837672	0.851343994942843	0.630751601249937	0.86767489563166	0.496550015837672	0.711580126915528
GBP5	21	31.5300077657459	0.0050251256281407	0.804195232492716	1.36080969270391	-0.378339789723043	0.943869467386905	0.804195232492716	0.682633650715123
CD177	14	111.922358380293	0.00526315789473684	0.466962943703146	0.469244721622039	0.427956855427198	1.30659573134805	0.466962943703146	0.66769006302511
IFI27	18	94.7134695579436	0.00483091787439614	0.698910114534176	0.97871041938311	0.255359970049982	0.647925333612912	0.698910114534176	0.645226459395045
SEPTIN4	17	83.1064708448568	0.0050761421319797	0.558763291828551	0.851343994942843	0.138947350552182	1.02161113704581	0.558763291828551	0.642666443592346
SLC1A3	15	128.115580166384	0.00497512437810945	0.349109601930783	0.596611146062307	0.590367088496516	0.86767489563166	0.349109601930783	0.600940683030316
SYN2	16	129.868418476616	0.00497512437810945	0.189717965392634	0.723977570502575	0.60794721444416	0.86767489563166	0.189717965392634	0.597329411492757
GBP1	19	22.9616044827729	0.00497512437810945	0.757891035642832	1.10607684382338	-0.464276757214889	0.86767489563166	0.757891035642832	0.566841504470745
CASP5	19	41.5971188855512	0.00483091787439614	0.698390705433356	1.10607684382338	-0.27737150281261	0.647925333612912	0.698390705433356	0.543755345014259
SLAMF8	19	15.9254279784539	0.00490196078431373	0.75551324614913	1.10607684382338	-0.534846226408774	0.756184309019207	0.75551324614913	0.520732043145735
BATF2	19	19.0966507414313	0.0048780487804878	0.751959541409197	1.10607684382338	-0.503040385986563	0.719745922175137	0.751959541409197	0.518685480355287
ETV7	17	46.5632988173726	0.00485436893203883	0.627798604378384	0.851343994942843	-0.227563104530554	0.683661306077125	0.627798604378384	0.48381020021695
HP	16	64.6458435623521	0.00490196078431373	0.487975986682951	0.723977570502575	-0.0462038700735165	0.756184309019207	0.487975986682951	0.480483499032804
EPSTI1	15	73.6080092690451	0.00471698113207547	0.607370566684141	0.596611146062307	0.0436823453107557	0.474302448527344	0.607370566684141	0.430491626646137
GBP6	15	52.3207601376885	0.00483091787439614	0.621352525073593	0.596611146062307	-0.169818534162028	0.647925333612912	0.621352525073593	0.424017617646696
ATF3	14	39.5081642831299	0.00478468899521531	0.513324472748141	0.469244721622039	-0.298322713654537	0.577479301769581	0.513324472748141	0.315431445621306
SOX5	9	139.942893714029	0.00476190476190476	0.105786573911454	-0.1675874005793	0.708989359915466	0.542759471789654	0.105786573911454	0.297487001259319
GPR84	15	22.3829734963466	0.00469483568075117	0.557495798493284	0.596611146062307	-0.47008014795504	0.440556028609305	0.557495798493284	0.281145706302464
MYOM2	10	65.4212719366567	0.00497512437810945	0.306808969901212	-0.040220976139032	-0.0384266961014074	0.86767489563166	0.306808969901212	0.273959048323108
NRCAM	12	65.6444539208931	0.0048780487804878	0.16112127000365	0.214511872741504	-0.0361882880467586	0.719745922175137	0.16112127000365	0.264797694218383
LRP1B	12	57.0139848642134	0.0048780487804878	0.192551819382288	0.214511872741504	-0.12274774542397	0.719745922175137	0.192551819382288	0.25101546721874
NRN1	8	149.439406130753	0.00465116279069767	0.0934420146103213	-0.294953825019568	0.804234816027882	0.374004949329077	0.0934420146103213	0.244181988736928
LYPD6B	8	169.53222255635	0.00448430493273543	0.0769433424461515	-0.294953825019568	1.00575610943123	0.119738045531974	0.0769433424461515	0.226870918097446
EIF1AY	10	115.732198691001	0.00452488687782805	0.0770994551764713	-0.040220976139032	0.466167722973666	0.181578978016564	0.0770994551764713	0.171156295006917
C1orf226	11	108.050276924687	0.00448430493273543	0.0601761261731112	0.0871454483012359	0.389121739106586	0.119738045531974	0.0601761261731112	0.164045339778227
NAIP	8	100.459155565052	0.00467289719626168	0.205786952931855	-0.294953825019568	0.312986439685512	0.407124995793302	0.205786952931855	0.157736140847775
NOS1AP	9	126.944728660398	0.00448430493273543	0.0552948341213336	-0.1675874005793	0.578624010529163	0.119738045531974	0.0552948341213336	0.146517372400793
TMEM119	11	50.3627978843018	0.00454545454545455	0.384233655582811	0.0871454483012359	-0.189455954689832	0.212921086980344	0.384233655582811	0.12371105904364
IL27	9	85.3789443845566	0.0045045045045045	0.263269329525021	-0.1675874005793	0.161739168147339	0.150519230394799	0.263269329525021	0.101985081871965
CORIN	11	44.1457060691533	0.0045662100456621	0.182540896257731	0.0871454483012359	-0.251810398051986	0.24454942524973	0.182540896257731	0.0656063429391775
ZFY	10	64.9586021454407	0.0045045045045045	0.0754716734402378	-0.040220976139032	-0.0430670517772664	0.150519230394799	0.0754716734402378	0.0356757189796846
